codigo_dane,nombre,departamento,codigo_departamento
05001,Medellín,Antioquia,05
05002,Abejorral,Antioquia,05
05004,Abriaquí,Antioquia,05
25001,Bogotá D.C.,Cundinamarca,25
76001,Cali,Valle del Cauca,76
08001,Barranquilla,Atlántico,08
68001,Bucaramanga,Santander,68
13001,Cartagena,Bolívar,13
50001,Villavicencio,Meta,50
66001,Pereira,Risaralda,66
63001,Armenia,Quindío,63
73001,Ibagué,Tolima,73
54001,Cúcuta,Norte de Santander,54
41001,Neiva,Huila,41
19001,Popayán,Cauca,19
52001,Pasto,Nariño,52
15001,Tunja,Boyacá,15
23001,Montería,Córdoba,23
70001,Sincelejo,Sucre,70
85001,Yopal,Casanare,85
